Student Id,Emotion label,Emotion Probability,Corresponding Weights,Focus Probability,Calculated MES,Engagement Detected (PREDICTED),Ground Truth (ACTUAL) 
1,happy,0.68,4.3,0.64,3.5640,engaged,engaged
2,neutral,0.72,4.12,0.76,3.7264,engaged,engaged
3,fear,0.81,3.05,0.66,3.1305,engaged,engaged
4,neutral,0.78,4.12,0.72,3.9336,engaged,engaged
5,sad,0.66,0.8,0.49,1.0180,not engaged,not engaged
6,fear,0.79,3.05,0.57,2.9795,not engaged,engaged
7,neutral,0.74,4.12,0.70,3.7488,engaged,engaged
8,angry,0.62,2.53,0.50,2.0686,not engaged,not engaged
9,happy,0.80,4.3,0.63,4.0700,engaged,engaged
10,surprise,0.59,3.48,0.69,2.7432,not engaged,engaged
11,neutral,0.75,4.12,0.71,3.8000,engaged,engaged
12,neutral,0.79,4.12,0.68,3.9348,engaged,not engaged
13,happy,0.64,4.3,0.65,3.4020,engaged,engaged
14,disgust,0.70,2.72,0.45,2.3540,not engaged,not engaged
15,fear,0.69,3.05,0.58,2.6845,not engaged,not engaged
16,happy,0.78,4.3,0.64,3.9940,engaged,engaged
17,neutral,0.81,4.12,0.71,4.0472,engaged,engaged
18,fear,0.79,3.05,0.66,3.0695,engaged,engaged
19,sad,0.71,0.8,0.50,1.0680,not engaged,not engaged
20,disgust,0.68,2.72,0.59,2.4396,not engaged,not engaged
21,surprise,0.73,3.48,0.67,3.2104,engaged,engaged
22,angry,0.79,2.53,0.49,2.4887,not engaged,engaged
23,neutral,0.81,4.12,0.69,4.0272,engaged,engaged
24,fear,0.67,3.05,0.58,2.6235,not engaged,not engaged
25,neutral,0.74,4.12,0.67,3.7188,engaged,engaged
26,angry,0.59,2.53,0.46,1.9570,not engaged,not engaged
27,neutral,0.76,4.12,0.62,3.7294,engaged,engaged
28,sad,0.66,0.8,0.61,1.1348,not engaged,not engaged
29,sad,0.79,0.8,0.61,1.2434,not engaged,not engaged
30,angry,0.79,2.53,0.53,2.5363,not engaged,not engaged
31,happy,0.59,4.3,0.48,3.0222,engaged,engaged
32,fear,0.75,3.05,0.71,2.9951,not engaged,not engaged
33,disgust,0.70,2.72,0.74,2.6503,not engaged,not engaged
34,happy,0.63,4.3,0.68,3.4040,engaged,not engaged
35,sad,0.74,0.8,0.47,1.0582,not engaged,not engaged
36,disgust,0.72,2.72,0.60,2.5495,not engaged,not engaged
37,happy,0.61,4.3,0.53,3.1324,engaged,engaged
38,neutral,0.67,4.12,0.61,3.3579,engaged,engaged
39,angry,0.67,2.53,0.62,2.3169,not engaged,not engaged
40,neutral,0.79,4.12,0.48,3.7407,engaged,engaged
41,fear,0.71,3.05,0.53,2.6919,not engaged,not engaged
42,neutral,0.63,4.12,0.71,3.2899,engaged,engaged
43,disgust,0.78,2.72,0.52,2.6514,not engaged,not engaged
44,disgust,0.79,2.72,0.52,2.6752,not engaged,not engaged
45,neutral,0.75,4.12,0.61,3.7073,engaged,engaged
46,angry,0.79,2.53,0.55,2.5548,not engaged,not engaged
47,angry,0.69,2.53,0.71,2.4485,not engaged,engaged
48,sad,0.60,0.8,0.73,1.2121,not engaged,not engaged
49,happy,0.66,4.3,0.61,3.4642,engaged,engaged
50,fear,0.72,3.05,0.71,2.9053,not engaged,not engaged
51,sad,0.66,0.8,0.68,1.2066,not engaged,not engaged
52,disgust,0.61,2.72,0.61,2.2611,not engaged,not engaged
53,happy,0.70,4.3,0.68,3.6826,engaged,engaged
54,angry,0.71,2.53,0.49,2.2948,not engaged,not engaged
55,neutral,0.72,4.12,0.67,3.6235,engaged,engaged
56,happy,0.70,4.3,0.70,3.7134,engaged,engaged
57,happy,0.68,4.3,0.63,3.5366,engaged,engaged
58,surprise,0.69,3.48,0.48,2.8841,not engaged,not engaged
59,happy,0.70,4.3,0.49,3.5130,engaged,engaged
60,disgust,0.64,2.72,0.48,2.2201,not engaged,not engaged
61,surprise,0.66,3.48,0.62,2.9318,not engaged,engaged
62,angry,0.75,2.53,0.60,2.5056,not engaged,engaged
63,fear,0.64,3.05,0.52,2.4639,not engaged,not engaged
64,happy,0.63,4.3,0.51,3.2254,engaged,engaged
65,happy,0.74,4.3,0.51,3.6863,engaged,engaged
66,disgust,0.71,2.72,0.45,2.3786,not engaged,not engaged
67,angry,0.78,2.53,0.48,2.4393,not engaged,not engaged
68,surprise,0.74,3.48,0.73,3.3040,engaged,engaged
69,surprise,0.76,3.48,0.57,3.2131,engaged,engaged
70,disgust,0.67,2.72,0.55,2.3662,not engaged,not engaged
71,disgust,0.59,2.72,0.63,2.2314,not engaged,not engaged
